Testing v8 version different from logging version
Statistical profiling result from isolate-0x55df67c161c0-v8.log, (31154 ticks, 186 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: ~hasRestParameter /app/node_modules/typescript/lib/tsc.js:7237:30
      2    0.0%    0.1%  LazyCompile: ~getTypeOfFuncClassEnumModule /app/node_modules/typescript/lib/tsc.js:27656:46
      2    0.0%    0.1%  LazyCompile: ~getTypeFromTypeNode /app/node_modules/typescript/lib/tsc.js:31203:37
      2    0.0%    0.1%  LazyCompile: ~getTypeFromTypeLiteralOrFunctionOrConstructorTypeNode /app/node_modules/typescript/lib/tsc.js:31011:71
      2    0.0%    0.1%  LazyCompile: ~getSymbolOfEntityNameOrPropertyAccessExpression /app/node_modules/typescript/lib/tsc.js:43860:65
      2    0.0%    0.1%  LazyCompile: ~getSignaturesOfStructuredType /app/node_modules/typescript/lib/tsc.js:29270:47
      2    0.0%    0.1%  LazyCompile: ~getResolvedTypeParameterDefault /app/node_modules/typescript/lib/tsc.js:29118:49
      2    0.0%    0.1%  LazyCompile: ~getPathFromPathComponents /app/node_modules/typescript/lib/tsc.js:11309:39
      2    0.0%    0.1%  LazyCompile: ~getOptions fs.js:64:20
      2    0.0%    0.1%  LazyCompile: ~getModifierFlagsNoCache /app/node_modules/typescript/lib/tsc.js:8416:37
      2    0.0%    0.1%  LazyCompile: ~getLocalTypeParametersOfClassOrInterfaceOrTypeAlias /app/node_modules/typescript/lib/tsc.js:27842:69
      2    0.0%    0.1%  LazyCompile: ~getIndexedAccessType /app/node_modules/typescript/lib/tsc.js:30775:38
      2    0.0%    0.1%  LazyCompile: ~getDirectoryPath /app/node_modules/typescript/lib/tsc.js:11230:30
      2    0.0%    0.1%  LazyCompile: ~getConstraintOfTypeParameter /app/node_modules/typescript/lib/tsc.js:28965:46
      2    0.0%    0.1%  LazyCompile: ~getConstrainedTypeVariable /app/node_modules/typescript/lib/tsc.js:29968:44
      2    0.0%    0.1%  LazyCompile: ~getApparentType /app/node_modules/typescript/lib/tsc.js:29148:33
      2    0.0%    0.1%  LazyCompile: ~fs.readFileSync fs.js:548:27
      2    0.0%    0.1%  LazyCompile: ~declareSymbol /app/node_modules/typescript/lib/tsc.js:20760:31
      2    0.0%    0.1%  LazyCompile: ~declareModuleMember /app/node_modules/typescript/lib/tsc.js:20823:37
      2    0.0%    0.1%  LazyCompile: ~createPrinter /app/node_modules/typescript/lib/tsc.js:62470:27
      2    0.0%    0.1%  LazyCompile: ~createInstantiatedSymbolTable /app/node_modules/typescript/lib/tsc.js:28294:47
      2    0.0%    0.1%  LazyCompile: ~createIdentifier /app/node_modules/typescript/lib/tsc.js:12955:34
      2    0.0%    0.1%  LazyCompile: ~createFileWatcherWithLogging /app/node_modules/typescript/lib/tsc.js:65483:42
      2    0.0%    0.1%  LazyCompile: ~createDirectoryWatcher /app/node_modules/typescript/lib/tsc.js:2031:40
      2    0.0%    0.1%  LazyCompile: ~convertObjectLiteralExpressionToJson /app/node_modules/typescript/lib/tsc.js:18764:54
      2    0.0%    0.1%  LazyCompile: ~containsReference /app/node_modules/typescript/lib/tsc.js:31480:39
      2    0.0%    0.1%  LazyCompile: ~computeBaseConstraint /app/node_modules/typescript/lib/tsc.js:29072:43
      2    0.0%    0.1%  LazyCompile: ~collectExternalModuleReferences /app/node_modules/typescript/lib/tsc.js:66805:49
      2    0.0%    0.1%  LazyCompile: ~checkVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:41693:46
      2    0.0%    0.1%  LazyCompile: ~checkKindsOfPropertyMemberOverrides /app/node_modules/typescript/lib/tsc.js:42609:53
      2    0.0%    0.1%  LazyCompile: ~checkInheritedPropertiesAreIdentical /app/node_modules/typescript/lib/tsc.js:42660:54
      2    0.0%    0.1%  LazyCompile: ~checkGrammarVariableDeclaration /app/node_modules/typescript/lib/tsc.js:45620:49
      2    0.0%    0.1%  LazyCompile: ~checkGrammarMethod /app/node_modules/typescript/lib/tsc.js:45519:36
      2    0.0%    0.1%  LazyCompile: ~checkGrammarForDisallowedTrailingComma /app/node_modules/typescript/lib/tsc.js:45078:56
      2    0.0%    0.1%  LazyCompile: ~checkGrammarArrowFunction /app/node_modules/typescript/lib/tsc.js:45135:43
      2    0.0%    0.1%  LazyCompile: ~checkDecorators /app/node_modules/typescript/lib/tsc.js:41106:33
      2    0.0%    0.1%  LazyCompile: ~checkCollisionWithRequireExportsInGeneratedCode /app/node_modules/typescript/lib/tsc.js:41581:65
      2    0.0%    0.1%  LazyCompile: ~bindChildrenWorker /app/node_modules/typescript/lib/tsc.js:20972:36
      2    0.0%    0.1%  LazyCompile: ~binarySearch /app/node_modules/typescript/lib/tsc.js:875:26
      2    0.0%    0.1%  LazyCompile: ~UseSparseVariant native array.js:61:26
      2    0.0%    0.1%  LazyCompile: ~InsertionSort native array.js:542:23
      2    0.0%    0.1%  LazyCompile: ~InnerArrayJoin native array.js:274:24
      2    0.0%    0.1%  LazyCompile: ~EventEmitter.init events.js:62:29
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /app/node_modules/typescript/lib/tsc.js:20946:38
      2    0.0%    0.1%  LazyCompile: *visitNodes /app/node_modules/typescript/lib/tsc.js:11971:24
