Testing v8 version different from logging version
Statistical profiling result from typescript292-isolate-0x559bf4aac1c0-v8.log, (32866 ticks, 181 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~some /app/node_modules/typescript/lib/tsc.js:753:18
      1    0.0%    0.0%  LazyCompile: ~skipTrivia /app/node_modules/typescript/lib/tsc.js:5046:24
      1    0.0%    0.0%  LazyCompile: ~skipParameterStart /app/node_modules/typescript/lib/tsc.js:13991:36
      1    0.0%    0.0%  LazyCompile: ~scanJSDocToken /app/node_modules/typescript/lib/tsc.js:6296:32
      1    0.0%    0.0%  LazyCompile: ~resolvedTypeScriptOnly /app/node_modules/typescript/lib/tsc.js:20458:36
      1    0.0%    0.0%  LazyCompile: ~resolveStructuredTypeMembers /app/node_modules/typescript/lib/tsc.js:26618:46
      1    0.0%    0.0%  LazyCompile: ~resolveExternalModuleSymbol /app/node_modules/typescript/lib/tsc.js:23151:45
      1    0.0%    0.0%  LazyCompile: ~resolveBaseTypesOfInterface /app/node_modules/typescript/lib/tsc.js:25751:45
      1    0.0%    0.0%  LazyCompile: ~resolveAlias /app/node_modules/typescript/lib/tsc.js:22910:30
      1    0.0%    0.0%  LazyCompile: ~removeTrailingNewlines /app/node_modules/typescript/lib/tsc.js:16385:48
      1    0.0%    0.0%  LazyCompile: ~removeLeadingNewlines /app/node_modules/typescript/lib/tsc.js:16380:47
      1    0.0%    0.0%  LazyCompile: ~pushTypeResolution /app/node_modules/typescript/lib/tsc.js:24773:36
